id,naslov
0111161,Kaznilnica odrešitve
0468569,Vitez teme
1375666,Izvor
0137523,Klub golih pesti
0110912,Šund
0109830,Forrest Gump
0120737,Gospodar prstanov: Bratovscina prstana
0133093,Matrica
0167260,Gospodar prstanov: Kraljeva vrnitev
0068646,Boter
1345836,Vzpon Viteza teme
0167261,Gospodar prstanov: stolpa
0114369,Sedem
0816692,Medzvezdje
0172495,Gladiator
1853728,Django brez okovov
0372784,Batman: na začetku
0848228,Maščevalci
0076759,Vojna zvezd: Epizoda IV - Novo upanje
0102926,Ko jagenjčki obmolknejo
0361748,Neslavne barabe
0120815,Reševanje vojaka Ryana
0108052,Schindlerjev seznam
0407887,Dvojna igra
0482571,Skrivnostna sled
0080684,Vojna zvezd: epizoda V - Imperij vrača udarec
0499549,Avatar
0209144,Memento
0993846,Volk z Wall Streeta
1130884,Zlovešči otok
0120689,Zelena milja
0169547,Lepota po ameriško
0071562,Boter, II. del
0325980,Pirati s Karibov: prekletstvo črnega bisera
0434409,V kot vroče maščevanje
0120586,Generacija X
0120338,Titanik
0088763,Vrnitev v prihodnost
0110413,Léon
2015381,Varuhi galaksije
0114814,Osumljenih pet
0103064,Terminator 2 - Sodni dan
0266697,Ubila bom Billa 1
0910970,Wall-E
0099685,Dobri fantje
0112573,Pogumno srce
0266543,Reševanje malega Nema
0086190,Vojna zvezd: Epizoda VI - Vrnitev jedija
0167404,Šesti čut
0371746,Iron Man
